"time.h","time","rep","phase","total","spore_obs","veg_naive","spore_est","spore_lo","spore_hi","veg_est","veg_lo","veg_hi"
3144,131,"C","equilibrium",1180000,730000,450000,746061.047801427,628825.304367447,873668.374995242,374521.307056191,120680.753330704,659357.368455102
3144,131,"D","equilibrium",1190000,840000,350000,852981.32100153,750851.487164605,965988.822177668,296236.965744471,79565.4815754993,557885.80282531
3192,133,"A","equilibrium",1660000,1080000,580000,1142341.22910727,912657.792189813,1339532.11355292,512515.624867929,305908.197812484,750290.793314397
3192,133,"B","equilibrium",1990000,1070000,920000,1168617.38518766,914308.888638452,1432074.93557454,775010.714617809,467250.542126452,1088261.84501327
3192,133,"C","equilibrium",1060000,720000,340000,734098.669088591,618682.572386349,858285.905763373,291628.807968441,74168.6462319492,551144.177414058
3192,133,"D","equilibrium",910000,890000,20000,876056.662536068,766311.003069916,978382.492570195,145269.79007831,23587.5894396,336103.102150406
3240,135,"A","equilibrium",1460000,1100000,360000,1101930.81260921,925051.606167272,1293257.85918222,356108.028089286,158674.723619043,541445.345965222
3240,135,"B","equilibrium",1730000,1430000,3e+05,1382125.71537107,1152297.5474982,1598675.69577237,347677.724313087,126674.598003312,608062.900345813
3240,135,"C","equilibrium",860000,660000,2e+05,669698.624111546,556302.773989656,789370.001153875,213651.468627078,42674.1449224736,446730.575557447
3240,135,"D","equilibrium",840000,760000,80000,763336.066347597,659680.240424317,868528.602290751,160429.170394964,26553.0597413991,365045.737526556
3288,137,"A","equilibrium",1400000,1180000,220000,1133694.90074441,951629.673162973,1304559.70711712,267241.652000892,95438.7263018857,456805.643056322
3288,137,"B","equilibrium",1720000,1080000,640000,1145164.32704968,905343.332949934,1390724.89863427,544624.732982945,265445.771816237,834767.846134054
3288,137,"C","equilibrium",9e+05,610000,290000,630931.249113775,521631.519329984,752791.723834154,258799.181089628,56828.3994869583,512345.947643094
3288,137,"D","equilibrium",1120000,960000,160000,952076.564546081,840833.809398667,1057218.27719661,199838.556756408,38279.372472388,429263.846045506
3336,139,"A","equilibrium",1600000,950000,650000,1060922.54155199,819985.674199472,1401253.37563613,533984.123127478,197820.208357894,784342.521998521
3336,139,"B","equilibrium",1510000,930000,580000,1015334.87259862,779134.201285436,1252187.5044887,470940.442638477,206066.807044226,754799.302162233
3336,139,"C","equilibrium",780000,550000,230000,575818.056132565,466756.723008874,697168.695391386,220175.136504137,44509.5512383273,459651.767663349
3336,139,"D","equilibrium",890000,720000,170000,734486.196522864,633280.260948955,842003.215030648,193605.05499055,37431.3384156521,417953.974262501
3384,141,"A","equilibrium",1240000,980000,260000,981106.987279955,811818.68958941,1144391.18810612,259950.464214378,98138.7913525668,436930.913288981
3384,141,"B","equilibrium",1420000,760000,660000,893791.744059623,667207.099328721,1129845.92278976,499190.967245517,231548.641729527,778235.776404235
3384,141,"C","equilibrium",690000,480000,210000,512973.971541067,408361.524822489,634064.238583309,208093.948664365,38966.351782381,447309.577784493
3384,141,"D","equilibrium",810000,550000,260000,594217.859760796,500432.919037646,708749.103205347,220296.602012363,45299.7922848606,456307.307534331
3432,143,"A","equilibrium",1270000,1250000,20000,1112083.04484438,958154.485884886,1236209.60429834,166122.198778319,52173.9485559528,324516.246255025
3432,143,"B","equilibrium",1390000,1010000,380000,1033200.62566893,808506.401162447,1250927.6153904,353673.967867563,126254.033807011,617755.984543999
3432,143,"C","equilibrium",980000,780000,2e+05,778435.557766448,660467.98955479,895537.641399821,220011.77955672,44531.3186335478,466092.767999334
3432,143,"D","equilibrium",960000,1010000,-50000,979485.802859997,860659.096570612,1079664.72636882,130789.98575483,21611.6917450915,310760.324007959
3480,145,"A","equilibrium",1260000,1510000,-250000,1157392.43272125,961800.0774103,1288702.60620217,121463.562500608,30540.7291036437,302659.989442139
3480,145,"B","equilibrium",1360000,1200000,160000,1127113.00525171,915475.68563418,1324752.43984382,261471.111941652,80192.5268458108,492904.79641212
3480,145,"C","equilibrium",1070000,850000,220000,845182.51835031,721922.993964423,962916.662593607,232957.364118043,49456.009550976,481128.985862678
3480,145,"D","equilibrium",920000,920000,0,901503.204341811,788338.962974862,1001980.27145029,142088.1892552,22826.1679735811,331007.292782118
3528,147,"A","equilibrium",1630000,1320000,310000,1271879.31935648,1069442.92109059,1467795.42528335,355984.493613662,152488.953213864,563407.333495448
3528,147,"B","equilibrium",1610000,1090000,520000,1134822.11432018,896676.481418613,1364287.31573178,454500.432312011,197089.247825988,734431.185098749
3528,147,"C","equilibrium",1e+06,590000,410000,620925.862093526,506502.251279573,751843.452599425,331107.951787095,92636.892055544,605015.581803352
3528,147,"D","equilibrium",1020000,990000,30000,968520.252881765,854336.316574289,1070451.72551996,153628.706378303,25254.3317238351,357923.443718347
3576,149,"A","equilibrium",1570000,1120000,450000,1170975.98712648,947413.401617949,1419655.14041826,395212.508698071,148964.421463843,626402.055315181
3576,149,"B","equilibrium",1460000,1100000,360000,1105230.79522004,878327.931750943,1319871.64125934,352891.081109569,130704.755659687,615913.739198555
3576,149,"C","equilibrium",910000,710000,2e+05,713314.541030848,598341.952118633,829775.690133604,217368.423412784,43081.8375874447,452722.200188902
3576,149,"D","equilibrium",860000,880000,-20000,862133.564681168,750809.402478828,962542.343058872,136748.510684793,22024.7559936283,317873.278063732
3624,151,"A","equilibrium",1680000,1070000,610000,1128800.28788907,918950.833724559,1389563.15815101,545726.635823443,281597.976691437,764450.6943434
3624,151,"B","equilibrium",1800000,1430000,370000,1400760.94205665,1163250.57268379,1626029.86635242,388687.192330346,148509.919652847,663459.701238561
3624,151,"C","equilibrium",890000,910000,-20000,877601.838332443,748793.25251194,987367.395553619,144118.66599606,23942.6146044618,337786.779864778
3624,151,"D","equilibrium",720000,840000,-120000,816997.466735444,707044.095665003,915017.435417122,110807.62769955,16343.3455344881,271008.1154635
3672,153,"A","equilibrium",1670000,1360000,310000,1324519.48152188,1102324.45327724,1509887.04602054,343586.962462103,153913.993771832,573930.38148841
3672,153,"B","equilibrium",1260000,1100000,160000,1039788.35578269,827256.560462674,1236362.61930045,252572.791197419,77445.8273387454,476250.158181147
3672,153,"C","equilibrium",980000,660000,320000,677485.786769968,564975.991635583,802265.804218384,278707.096437465,65304.6903008404,542077.19020862
3672,153,"D","equilibrium",920000,670000,250000,695495.987024896,597905.504997469,804983.934840102,227247.605352508,47381.1539854227,467373.932093737
3720,155,"A","equilibrium",2150000,1640000,510000,1582782.94086765,1373954.40194319,1798179.27177734,562177.212657076,337308.346686199,778360.803596218
3720,155,"B","equilibrium",2170000,1370000,8e+05,1416831.88943169,1164838.4940897,1685760.59759828,709263.075270686,400604.48615777,1012376.23751284
3720,155,"C","equilibrium",1200000,1030000,170000,1010279.40956493,881305.738497516,1125211.77502133,213924.792437343,41056.4160346624,451804.996248976
3720,155,"D","equilibrium",1690000,1160000,530000,1155994.03468374,1042844.06389417,1267336.41837132,451995.709921213,176986.039108607,737963.245616613
3768,157,"A","equilibrium",1680000,1200000,480000,1216003.07132866,1012014.38972863,1427525.14395822,459860.723154344,240709.838165671,674080.012536389
3768,157,"B","equilibrium",1870000,1260000,610000,1299177.28551559,1054841.4517646,1542807.65048668,538890.422864796,260065.018853961,826384.123121549
3768,157,"C","equilibrium",1030000,850000,180000,842521.373347791,721366.19320935,958617.198120242,212483.07020682,40354.2035451327,450975.885850957
3768,157,"D","equilibrium",1110000,830000,280000,841676.542500469,737694.426961473,954213.793245987,251580.688057133,56971.9097480872,499881.002591853
3816,159,"A","equilibrium",1530000,1230000,3e+05,1218214.83875766,1010518.7054088,1419690.7113094,310607.882419252,108484.557631047,526418.087399752
3816,159,"B","equilibrium",1670000,1450000,220000,1375911.65886073,1144594.54568499,1581189.8746514,304585.239123496,104484.794295647,556909.435736858
3816,159,"C","equilibrium",1060000,9e+05,160000,886630.92396774,760762.323839591,1002627.26387267,203694.028100895,37998.2841441536,432595.62560284
3816,159,"D","equilibrium",960000,1080000,-120000,1038275.1319227,914807.069261879,1137298.40628997,116880.183429469,17548.2435777372,285402.598896307
3864,161,"A","equilibrium",1550000,1060000,490000,1088964.32308793,887233.227040282,1310636.09524164,456982.42841419,228098.457668358,664525.242474598
3864,161,"B","equilibrium",1420000,1020000,4e+05,1051441.00292435,827466.100945419,1265584.85541635,362548.937109082,138018.730072497,628328.253530459
3864,161,"C","equilibrium",7e+05,670000,30000,661583.986813436,543560.436361591,775925.159053984,151703.136962108,25607.564963179,348875.983163868
3864,161,"D","equilibrium",960000,9e+05,60000,888287.215639464,778330.722078007,991672.622436095,158517.442075698,26379.6239895311,364108.960481698
3912,163,"A","equilibrium",1390000,1350000,40000,1204850.23710657,1038659.96547656,1340239.83157489,191384.873005317,62444.1352324718,363579.244734437
3912,163,"B","equilibrium",1820000,1130000,690000,1200422.38274859,952682.702428397,1447154.45264729,584157.93455542,301812.73260482,878431.836049953
3912,163,"C","equilibrium",1080000,680000,4e+05,700238.426385186,583944.93865701,826016.875401383,330972.747523806,94054.6697537848,601899.26784418
3912,163,"D","equilibrium",990000,1050000,-60000,1016450.66875231,895590.60490453,1116281.17190493,129562.956918113,19411.6149130986,309036.029622835
3960,165,"A","equilibrium",1450000,990000,460000,1033346.41927406,812438.717975777,1228544.1187115,413161.315071256,208193.613421178,639923.221735369
3960,165,"B","equilibrium",1600000,1080000,520000,1131785.56424327,886899.832507697,1367717.27070326,447835.138723007,188165.475925981,736440.562205792
3960,165,"C","equilibrium",850000,930000,-80000,889007.418764559,758388.982565415,997187.807374896,128216.971678121,19145.1085183396,306174.549156265
3960,165,"D","equilibrium",1080000,890000,190000,889266.114693425,781823.413090224,994795.964062389,209700.778885607,40548.569444745,441101.235596937
4008,167,"A","equilibrium",1790000,1400000,390000,1353412.93837611,1154934.69268417,1552139.34792377,433231.419945095,221413.155189101,640607.819136288
4008,167,"B","equilibrium",1520000,1230000,290000,1198822.24546457,975500.219126544,1417766.09177266,326600.157716034,109654.896321391,581575.903223853
4008,167,"C","equilibrium",890000,8e+05,90000,786550.179678134,663979.21979228,898602.809562296,174921.306875806,31630.6582912837,390357.186355803
4008,167,"D","equilibrium",1080000,960000,120000,949682.235513439,838445.196915426,1052946.6043934,181956.837607247,32775.1227087533,396429.816866245
4056,169,"A","equilibrium",1630000,1040000,590000,1113962.40182987,897685.524974066,1308076.56647511,511010.091979082,308173.470812665,734478.642282904
4056,169,"B","equilibrium",1180000,910000,270000,918371.999081571,714036.123825072,1112909.66792506,281000.571268826,93373.9365031837,512697.959609521
4056,169,"C","equilibrium",1110000,660000,450000,683764.44792404,570151.644297301,809583.904567846,367367.508560809,115114.284196062,647267.158609512
4056,169,"D","equilibrium",820000,950000,-130000,915805.941723459,796490.88240224,1013806.68097508,111480.423809278,17048.5368543207,270651.986315451
4104,171,"A","equilibrium",1640000,1170000,470000,1178881.68224949,977052.457517233,1393981.32342623,457495.530362975,235288.307554231,666901.542648738
4104,171,"B","equilibrium",1540000,1180000,360000,1175147.57009856,949530.724837888,1398069.34373187,361057.911147042,133536.620319693,620136.441217018
4104,171,"C","equilibrium",1060000,760000,3e+05,767629.203233625,650986.238760595,888240.521365914,270864.683128929,61336.1352650124,527696.683295382
4104,171,"D","equilibrium",920000,940000,-20000,918317.03214274,805907.323071771,1016495.38344963,135630.717251736,20929.6811265134,324491.19063171
4152,173,"A","equilibrium",1450000,1100000,350000,1117792.97202635,931101.61185353,1294850.80843389,330238.39878427,148667.965602543,525358.481335563
4152,173,"B","equilibrium",1680000,1490000,190000,1399058.39491511,1169009.2422098,1605988.12474031,296193.801275062,99857.0588403958,547462.897571247
4152,173,"C","equilibrium",1170000,820000,350000,824993.099355718,704559.199839106,947353.38714392,306055.815481871,80901.9193252848,571886.146918356
4152,173,"D","equilibrium",1370000,1020000,350000,1020077.63390457,910272.2341325,1132297.42113543,307020.151255699,81505.4283914926,573991.025998585
4200,175,"A","equilibrium",1560000,980000,580000,1060954.96482887,857991.392642616,1255455.1004721,494300.759641534,292693.363465262,707080.641821169
4200,175,"B","equilibrium",1390000,1e+06,390000,1030922.04347341,806099.386172311,1244359.20969525,355804.404591717,131066.285433895,619635.565132959
4200,175,"C","equilibrium",920000,830000,90000,815406.918230094,692097.816238263,928113.858086068,176676.256522559,32065.5183337209,391298.294267801
4200,175,"D","equilibrium",990000,860000,130000,858192.484251606,753316.489609918,963628.70748948,182971.957999379,34153.2280460459,405476.667366558
4248,177,"A","equilibrium",1370000,940000,430000,1004513.92042829,807730.172723562,1194813.8540323,363166.914586665,167186.986597368,571796.191870846
4248,177,"B","equilibrium",1820000,1300000,520000,1318030.24076007,1070093.6572581,1563974.07555478,477846.918436629,206300.505199567,764280.865738593
4248,177,"C","equilibrium",7e+05,650000,50000,646254.432986173,531244.928899441,759134.72450411,156281.580771843,25902.9866087911,362324.481613854
4248,177,"D","equilibrium",1e+06,870000,130000,866844.573205681,759776.503411774,971627.789146386,183079.165057268,33671.105846566,401302.13110367
4296,179,"A","equilibrium",1230000,830000,4e+05,898239.535558372,720078.911526815,1076770.27424694,330422.36078514,145699.863270757,515486.963635236
4296,179,"B","equilibrium",1440000,1580000,-140000,1335494.80594858,1126866.65526538,1532540.31134596,184586.595351126,50626.2762699497,377744.39626894
4296,179,"C","equilibrium",860000,750000,110000,741879.851665829,623177.833836267,854729.289334812,180914.613364192,32758.0412802575,401576.908164465
4296,179,"D","equilibrium",970000,980000,-10000,956365.167062449,841333.830450034,1055184.03176944,138997.102135045,21767.3559961296,326048.028312532
4344,181,"A","equilibrium",1510000,1330000,180000,1252059.42130007,1053225.98494373,1424119.58683699,259437.085982,88414.7761003799,463650.867173374
4344,181,"B","equilibrium",1690000,1320000,370000,1301363.33316306,1067962.31522783,1524372.69661981,379933.745433614,144563.0634911,653012.593798169
4344,181,"C","equilibrium",840000,7e+05,140000,700796.158118161,582732.624023628,814950.34230904,189733.137906667,35140.0046104955,416726.726307294
4344,181,"D","equilibrium",870000,670000,2e+05,693200.48870852,596044.546741755,804162.036551307,203661.588892074,38259.2679076858,435349.897075274
4392,183,"A","equilibrium",1600000,1120000,480000,1150794.07024921,942300.82734781,1358008.83363888,445400.881798528,232748.580560025,660826.610426319
4392,183,"B","equilibrium",1520000,1300000,220000,1239532.69341493,1017692.07449145,1444553.4320912,295102.97311456,97580.8269434747,536619.798604341
4392,183,"C","equilibrium",1130000,590000,540000,625229.497851682,512638.231097094,761113.469892088,430652.710732483,158121.79653921,720339.402062317
4392,183,"D","equilibrium",1070000,770000,3e+05,787642.189306371,687469.684232304,898964.788072235,260098.84578825,62084.2477630297,512698.647612249
4484,186.833333333333,"A","equilibrium",1350000,1200000,150000,1126821.13255468,955013.370495609,1277621.60942685,226671.353037197,78901.3196327082,403599.236873775
4484,186.833333333333,"B","equilibrium",1740000,1280000,460000,1289406.39447772,1049145.44955488,1523369.0201156,432857.558562991,178475.610183427,717258.652350568
4484,186.833333333333,"C","equilibrium",8e+05,690000,110000,687826.12838698,573402.915505076,800648.049162551,179452.89001869,30280.9525288324,398796.842159066
4484,186.833333333333,"D","equilibrium",960000,970000,-10000,946517.563577602,833020.083479717,1046540.46890233,140812.302232835,22387.7215963588,330853.341260817
4532,188.833333333333,"A","equilibrium",970000,940000,30000,832189.522680444,650277.592487444,955896.80493963,149720.949326923,36981.5150047739,325508.710835102
4532,188.833333333333,"B","equilibrium",1270000,990000,280000,988879.710540837,778525.868954391,1191077.36446278,295277.571730209,97699.630652602,538548.097743177
4532,188.833333333333,"C","equilibrium",820000,670000,150000,674516.731431199,560211.682748219,792712.827666782,192724.793184072,35388.5898707607,418568.288212289
4532,188.833333333333,"D","equilibrium",940000,840000,1e+05,838021.071854953,732480.681697687,944034.641784495,171263.984449888,31039.4992418575,385302.418967091
4580,190.833333333333,"A","equilibrium",1570000,1260000,310000,1238390.7859949,1042720.1536753,1414748.22700792,330090.438101864,148477.993195697,530846.205825529
4580,190.833333333333,"B","equilibrium",1910000,1160000,750000,1228367.28548001,979826.816930616,1482229.69098343,642254.599782932,345923.173533568,940700.144311261
4580,190.833333333333,"C","equilibrium",1030000,630000,4e+05,654918.084130862,542616.906592401,781760.719061122,327889.152727865,91321.1218373553,602978.141212073
4580,190.833333333333,"D","equilibrium",990000,780000,210000,790110.690799569,688596.794532678,898432.98163482,215457.516639748,43505.6283385758,449160.752397305
4628,192.833333333333,"A","equilibrium",1730000,1040000,690000,1137837.74089483,910338.433155996,1363586.08288828,586403.913841006,359337.993246243,824421.788155356
4628,192.833333333333,"B","equilibrium",1520000,1340000,180000,1258640.82582284,1036989.90670171,1466225.78680846,282882.773936952,87850.8551905423,528355.27305643
4628,192.833333333333,"C","equilibrium",780000,720000,60000,710610.724082105,593619.255903056,824349.164899458,161323.713175025,26696.8004831002,372159.308381811
4628,192.833333333333,"D","equilibrium",1020000,790000,230000,801164.650247681,698517.320095,910946.212030777,225997.945913374,46428.4522388812,465288.247345855
4676,194.833333333333,"A","equilibrium",1900000,1210000,690000,1241740.44356969,1027545.71778994,1459317.10230315,652180.214028167,422447.002676374,874644.495947003
4676,194.833333333333,"B","equilibrium",1560000,1500000,60000,1358377.71268725,1144108.11408258,1555638.51558735,240684.834635265,71153.5171522526,470363.106124741
4676,194.833333333333,"C","equilibrium",770000,870000,-1e+05,830599.406162765,699461.800411994,939754.94888678,122554.166624573,18600.7187310703,296809.851582334
4676,194.833333333333,"D","equilibrium",1130000,830000,3e+05,841856.564930256,736367.292290308,950278.689393459,265773.111591917,63628.6082407242,521487.150867798
4724,196.833333333333,"A","equilibrium",1630000,1010000,620000,1080117.22341785,880378.466153248,1296807.52215631,544973.186654111,320593.793474644,755419.813615798
4724,196.833333333333,"B","equilibrium",1890000,1160000,730000,1225251.03631696,978938.200239661,1478506.43070496,626838.307985356,329098.435652489,920881.719212144
4724,196.833333333333,"C","equilibrium",870000,770000,1e+05,760291.192711056,639050.825257698,873722.205945248,178035.13167031,31714.2110196707,397323.884964994
4724,196.833333333333,"D","equilibrium",1130000,730000,4e+05,756036.442297607,652685.935533818,874090.66292803,323161.622748271,91863.4512290624,586885.051918206
4772,198.833333333333,"A","equilibrium",920000,810000,110000,787053.290665887,639138.586526559,900309.099671644,142961.281946752,31613.6426734904,295186.555607441
4772,198.833333333333,"B","equilibrium",1330000,1190000,140000,1111693.53942191,895455.250149607,1306333.00693066,250799.367502442,77057.116831836,478495.792027901
4772,198.833333333333,"C","equilibrium",730000,590000,140000,601577.260079597,491453.786836343,716028.758359053,185573.222511379,33475.3133021356,410310.045557306
4772,198.833333333333,"D","equilibrium",790000,760000,30000,758889.569558119,655141.862825167,862410.624297156,144701.200760258,24290.2707237198,335777.131840362
4820,200.833333333333,"A","equilibrium",1630000,1170000,460000,1158081.01970048,928739.897299863,1379428.26505484,468199.213045969,237233.948021264,701569.335054678
4820,200.833333333333,"B","equilibrium",1550000,1340000,210000,1270481.56295,1041128.5933092,1473694.25611453,294303.385674463,94759.39919336,545625.917014211
4820,200.833333333333,"C","equilibrium",870000,1040000,-170000,981647.132518948,837312.799241813,1094010.64399047,112186.506411351,15984.334280162,274260.096866374
4820,200.833333333333,"D","equilibrium",1330000,930000,4e+05,937381.261125368,828281.52740412,1050387.5861142,338893.980217296,100107.842070547,618647.251730532
4868,202.833333333333,"A","equilibrium",1950000,1700000,250000,1577805.78768759,1368109.95741193,1784094.02749152,370725.287627117,157296.903760223,587076.795457689
4868,202.833333333333,"B","equilibrium",2090000,1770000,320000,1697111.64420745,1452230.72389777,1924134.16017487,385247.26239922,147470.224440971,660326.960685897
4868,202.833333333333,"C","equilibrium",1120000,930000,190000,917210.787365106,793330.689387988,1035259.64981903,222048.190510524,43718.579455461,464855.396748043
4868,202.833333333333,"D","equilibrium",1380000,1170000,210000,1153307.77718766,1040046.42276747,1256445.2386905,227619.952616124,48345.2538321373,470915.975768637
4916,204.833333333333,"A","equilibrium",1360000,1310000,50000,1175416.02444369,1004838.9239282,1324744.93412612,190437.969341684,49307.7786685328,362091.983716042
4916,204.833333333333,"B","equilibrium",1610000,1600000,10000,1428053.37496444,1212686.27399807,1622221.58641399,228213.476755401,67833.5531201095,449214.438378939
4916,204.833333333333,"C","equilibrium",980000,830000,150000,821302.672453773,701641.784467256,938942.352158119,198572.733315324,35857.5639047939,425583.015422721
4916,204.833333333333,"D","equilibrium",1260000,1180000,80000,1153513.07177504,1036150.46295163,1254419.01615444,173366.845831124,30588.1410518001,386151.647600709
4964,206.833333333333,"A","equilibrium",1210000,1110000,1e+05,1023691.25029681,862884.746413752,1159091.88476563,192254.386419329,62115.3547267421,358369.025188364
4964,206.833333333333,"B","equilibrium",1940000,1510000,430000,1489662.37806217,1241288.40482674,1726138.60244511,433265.335273366,176929.198028903,718211.085221887
4964,206.833333333333,"C","equilibrium",750000,1180000,-430000,1079089.59841801,913851.280948257,1203990.91903797,77517.7482358326,10581.4097385363,201726.013399355
4964,206.833333333333,"D","equilibrium",1020000,810000,210000,818166.50521436,715014.0037949,926987.792357872,216111.077910545,43210.9606389479,450322.600927752
5012,208.833333333333,"A","equilibrium",1740000,1050000,690000,1099164.32965479,899952.217527656,1310792.28173844,635184.099131939,412096.749750414,842936.425278153
5012,208.833333333333,"B","equilibrium",1570000,1440000,130000,1329022.55662702,1105533.56745277,1530675.16142618,266878.532571907,83290.9524576285,506807.134785932
5012,208.833333333333,"C","equilibrium",760000,760000,0,741431.131014679,624495.256635987,851375.792886966,145112.8602678,23170.239043901,339133.803485781
5012,208.833333333333,"D","equilibrium",980000,850000,130000,848189.634872708,742763.248009208,950736.452799353,183151.324384123,32018.9684100073,399933.656684623
5060,210.833333333333,"A","equilibrium",1550000,1260000,290000,1232918.61825504,1037334.52038666,1396111.23920863,315778.416086072,148522.679177324,518306.723658258
5060,210.833333333333,"B","equilibrium",2040000,1400000,640000,1419343.69557929,1167218.90794108,1671050.97805231,586799.495145061,293375.28797775,886072.037895023
5060,210.833333333333,"C","equilibrium",1010000,880000,130000,865963.500297912,745314.32151063,980274.577866703,192899.448101079,36389.0521847676,422286.929376401
5060,210.833333333333,"D","equilibrium",8e+05,940000,-140000,905481.978931052,787093.166046824,1003634.01717194,110687.638601643,16053.9824082919,275314.1689432
5108,212.833333333333,"A","equilibrium",1550000,1090000,460000,1133122.43984175,911535.352556362,1343933.30671863,413403.831563696,197157.055316461,645708.045624007
5108,212.833333333333,"B","equilibrium",1360000,1020000,340000,1033115.07709475,816735.709579639,1241787.01231547,330086.724148935,118434.329670601,584204.256249675
5108,212.833333333333,"C","equilibrium",890000,850000,40000,828948.795541906,704733.925865934,942070.392397896,160624.824662032,27367.9139692449,367981.616482393
5108,212.833333333333,"D","equilibrium",1010000,810000,2e+05,817962.984220012,715714.337699688,925208.106451345,210141.333416967,42844.0400392008,440168.933515762
5180,215.833333333333,"A","equilibrium",1520000,860000,660000,960173.375348478,786618.483640844,1153347.9728482,554560.207189955,347939.154380675,736881.141286826
5180,215.833333333333,"B","equilibrium",1570000,1150000,420000,1162413.87229687,926104.92900698,1391011.89700702,396684.51410368,155140.832355178,669304.052124725
5180,215.833333333333,"C","equilibrium",680000,580000,1e+05,589385.808489208,479337.917904008,705561.727999558,169904.048971417,28789.7650924915,383153.600222634
5180,215.833333333333,"D","equilibrium",920000,740000,180000,752452.049474587,652155.715802229,862415.059355157,198743.801846957,38920.1689682868,426863.013337156
5228,217.833333333333,"A","equilibrium",1660000,980000,680000,1049735.19079495,856681.731984332,1249336.83157544,604774.202472896,391028.267109735,808485.56503794
5228,217.833333333333,"B","equilibrium",1240000,1080000,160000,1021629.03050877,815596.314963909,1218028.76641938,251333.126025293,77174.5274207561,479603.54152789
5228,217.833333333333,"C","equilibrium",670000,580000,90000,588861.581201243,478423.871559034,704090.899291819,166826.934149715,27844.075687756,380172.659010711
5228,217.833333333333,"D","equilibrium",790000,730000,60000,734489.385079364,634434.688211906,838246.883458574,151850.311458587,25651.8315908115,345895.966782997
5276,219.833333333333,"A","equilibrium",1580000,1030000,550000,1110880.05012453,894721.380882418,1306276.34865999,464469.417999752,264129.854411631,686097.377476151
5276,219.833333333333,"B","equilibrium",1710000,1340000,370000,1316120.91586069,1076493.25844134,1543523.76643372,384349.079652928,141310.984658659,663178.217475915
5276,219.833333333333,"C","equilibrium",940000,830000,110000,816372.491425166,695522.284556893,929686.394992132,183801.296200218,33341.3377823047,402696.934125023
5276,219.833333333333,"D","equilibrium",1160000,930000,230000,928899.753533645,818840.559300465,1036492.33737672,231835.341298971,49722.4427983115,476176.382546092
5324,221.833333333333,"A","equilibrium",1450000,970000,480000,1021753.59324082,794575.225294855,1217348.56998368,424614.185203244,220151.368350818,657513.722464875
5324,221.833333333333,"B","equilibrium",1350000,1190000,160000,1118101.47256759,909534.971108516,1310610.59212479,261220.183975334,82615.8412321705,489261.849263879
5324,221.833333333333,"C","equilibrium",710000,670000,40000,663252.674750775,545656.797517304,775813.330914482,154394.060824667,26291.7123305212,355147.983396122
5324,221.833333333333,"D","equilibrium",1130000,830000,3e+05,841373.813874536,738868.315068739,952604.374414377,264413.901569765,64853.9263257875,519957.430756123
5372,223.833333333333,"A","equilibrium",1230000,930000,3e+05,966246.876356615,782855.936941246,1125797.0444178,264230.597164132,102704.216665805,454352.051996602
5372,223.833333333333,"B","equilibrium",1590000,1600000,-10000,1419197.91174216,1204699.48929944,1620027.49192289,221908.987082127,62713.2392323667,443551.467944498
5372,223.833333333333,"C","equilibrium",970000,710000,260000,718776.908324521,600980.053402012,837758.837802105,247061.049022995,54091.5353453306,498715.515861199
5372,223.833333333333,"D","equilibrium",1120000,920000,2e+05,917509.97433356,809019.421645927,1025295.73324609,217187.047037671,43956.5387842079,451571.449095679
5420,225.833333333333,"A","equilibrium",1710000,1080000,630000,1107401.06816338,901149.381335229,1329882.54833723,597527.843066228,363054.943399165,810400.875842517
5420,225.833333333333,"B","equilibrium",1580000,1250000,330000,1230151.49731915,998640.367382888,1449233.6713494,348414.881204643,124804.439141382,609826.324232554
5420,225.833333333333,"C","equilibrium",820000,580000,240000,600332.721734603,490662.323399672,721679.260264068,229158.632229014,47707.3831595823,475838.105801928
5420,225.833333333333,"D","equilibrium",1270000,8e+05,470000,821297.745165407,718146.951059072,941888.815485341,380776.958786614,128818.979548877,656352.596562785
5468,227.833333333333,"A","equilibrium",1330000,1070000,260000,1061762.53170887,868213.883310038,1235549.04764211,268939.968073277,96020.5692430743,468419.665688091
5468,227.833333333333,"B","equilibrium",1550000,1340000,210000,1270435.55991818,1049056.27996525,1476579.11401183,294464.390304429,98700.9439136319,540344.958709798
5468,227.833333333333,"C","equilibrium",1100000,750000,350000,760928.295024574,646042.506838616,886166.568982608,303292.071931919,78619.2576892171,570350.184416208
5468,227.833333333333,"D","equilibrium",1290000,880000,410000,891693.259372024,783877.584863765,1003261.66287498,340416.840473331,105408.497765008,607302.980763424
5516,229.833333333333,"A","equilibrium",1190000,930000,260000,944264.172335479,766281.131453987,1108739.91014002,247993.186119774,85367.9182456219,432018.286343387
5516,229.833333333333,"B","equilibrium",1630000,1040000,590000,1105797.87506721,867007.814394082,1346893.67440328,496854.94977954,228391.086803689,783129.971384056
5516,229.833333333333,"C","equilibrium",950000,570000,380000,601825.388405806,491740.937589909,730216.226564127,309595.336995359,82616.7820716054,585165.718589088
5516,229.833333333333,"D","equilibrium",1050000,9e+05,150000,896719.938551694,789378.021007965,1001632.47475253,190087.500635187,37665.8988101572,407880.62888911
5564,231.833333333333,"A","equilibrium",1220000,1130000,90000,1028387.43567768,882193.015675173,1170086.18231661,197665.823374907,60979.7458449796,352512.878690891
5564,231.833333333333,"B","equilibrium",1570000,1490000,80000,1357591.87289923,1140748.66500503,1555551.17333147,248218.615598211,75373.6807285403,482404.657177854
